,power_SO,power_SO_relative,power_delta,power_delta_relative,power_sigma,power_sigma_relative,maxi,idx_maxi,mini,idx_mini,slope_positive,second_maxi,idx_second_maxi,slope_negative,num_of_zc_min_max,num_of_zc_max_min,kurtosis,skewness,KC
233,257.068,0.22,118.605,0.102,506.908,0.434,32.19,207,-88.172,195,10.03,17.642,148,-2.251,1,5,1.269,-1.089,no
234,61.943,0.088,206.193,0.294,25.076,0.036,28.151,221,-49.85,189,2.438,33.035,169,-4.144,1,1,-0.776,-0.282,no
235,42.557,0.12,242.216,0.682,17.526,0.049,22.408,244,-42.29,178,0.98,31.165,129,-1.499,1,1,-0.561,-0.077,no
236,124.728,0.129,392.307,0.405,119.714,0.124,9.383,203,-122.818,172,4.265,2.165,139,-3.787,1,1,1.41,-0.681,no
237,498.239,0.317,629.688,0.401,65.629,0.042,26.77,249,-75.224,184,1.569,-9.369,134,-1.317,3,0,0.118,-0.814,no
238,255.061,0.285,227.401,0.254,247.254,0.276,30.769,234,-63.2,190,2.136,22.919,141,-1.758,3,1,0.128,-0.845,no
239,256.643,0.275,339.088,0.364,32.34,0.035,26.763,239,-44.947,173,1.087,36.794,137,-2.271,1,5,-0.025,-0.623,no
240,154.061,0.144,626.301,0.586,43.631,0.041,55.344,243,-64.501,167,1.577,47.473,150,-6.587,1,1,-0.121,-0.51,no
241,599.067,0.215,1818.493,0.652,33.497,0.012,29.153,247,-101.948,184,2.081,57.836,142,-3.804,1,1,-0.788,0.085,no
242,882.28,0.154,4266.134,0.744,34.397,0.006,91.522,249,-119.6,196,3.983,100.801,146,-4.408,1,1,-1.071,0.21,no
243,291.084,0.167,1138.951,0.654,45.229,0.026,6.697,224,-89.796,191,2.924,42.398,169,-6.009,1,1,-0.396,-0.29,no
244,17.475,0.023,607.743,0.805,36.687,0.049,34.861,237,-40.037,199,1.971,14.471,149,-1.09,1,1,0.067,0.42,no
245,97.339,0.305,96.162,0.301,50.238,0.157,7.449,240,-42.506,181,0.847,16.008,131,-1.17,1,3,-0.515,0.271,no
246,293.986,0.263,507.469,0.454,128.721,0.115,46.891,241,-36.815,186,1.522,37.765,136,-1.492,3,5,0.905,-1.147,no
247,914.353,0.404,573.085,0.253,71.45,0.032,-1.777,247,-95.198,197,1.868,-19.615,147,-1.512,0,0,0.123,-0.43,no
248,611.576,0.302,908.121,0.449,54.614,0.027,19.797,249,-112.021,179,1.883,28.571,150,-4.848,1,1,1.641,-1.292,no
249,50.611,0.103,352.32,0.715,10.443,0.021,20.741,226,-49.722,195,2.273,28.734,145,-1.569,1,1,-0.133,-0.814,no
250,2605.6,0.419,1727.778,0.278,66.569,0.011,2.124,249,-139.204,196,2.667,-15.463,146,-2.475,0,0,0.23,-0.977,no
251,10.823,0.017,357.367,0.569,31.0,0.049,22.731,234,-94.872,197,3.178,17.993,165,-3.527,1,1,7.138,-1.933,no
252,64.918,0.087,331.317,0.443,92.178,0.123,27.163,203,-67.28,183,4.722,21.943,133,-1.784,1,3,-0.137,-0.58,no
253,12.261,0.012,830.248,0.783,18.702,0.018,43.437,220,-57.204,198,4.575,75.518,165,-4.022,1,1,1.161,-0.241,no
254,233.169,0.26,391.453,0.437,12.546,0.014,24.943,246,-49.78,160,0.869,68.799,123,-3.205,3,1,0.043,-0.225,no
255,444.487,0.258,764.224,0.443,45.063,0.026,13.576,221,-88.986,184,2.772,40.673,166,-7.203,1,1,0.836,-1.19,no
256,68.578,0.072,742.213,0.779,16.506,0.017,38.593,222,-65.545,186,2.893,30.935,137,-1.969,1,1,-0.089,-0.555,no
257,112.57,0.234,281.383,0.585,5.028,0.01,17.484,246,-27.993,184,0.734,41.197,155,-2.386,1,1,-0.903,0.067,no
258,132.755,0.164,456.896,0.564,3.391,0.004,32.701,242,-59.74,195,1.967,15.052,145,-1.496,1,1,1.37,-1.112,no
259,18.888,0.019,746.242,0.746,12.669,0.013,35.884,229,-32.977,199,2.295,45.959,169,-2.631,1,1,5.294,-1.511,no
